Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Active Flow Entries,Packets Looked Up,Packets Matched,Label
of:0000000000000003,Port#:3,1770,19047433,19046183,1747,1111,4,556,556,4,5,3,0,0,0,0,0,6,7053,6935,Blackhole
of:0000000000000006,Port#:1,1507,6385829,89880,1440,141,100,5740,5744,100,5,3,502,64314,502,64314,502,8,3621,3517,TCP-SYN
of:0000000000000005,Port#:3,98,13715,13799,100,106,4,556,556,4,5,1,0,0,0,0,0,6,2054,1948,TCP-SYN
of:0000000000000002,Port#:1,292,6319154,30003,323,126,4,556,348,3,4,3,0,0,0,0,0,6,1208,1118,PortScan
of:000000000000000a,Port#:3,3305,31799189,12851637,2250,2527,2,278,278,2,5,4,0,6303287,0,6303287,0,505,15762,15619,Blackhole
of:0000000000000004,Port#:1,94,12577,12577,94,91,4,556,556,4,5,3,0,0,0,0,0,6,1235,1128,TCP-SYN
of:0000000000000005,Port#:2,777,54026,25559505,1240,326,0,0,280,2,5,2,0,0,0,0,0,4,5028,4912,Overflow
of:000000000000000c,Port#:1,204,26856,31974494,126066,241,2,280,296090,5480,5,4,0,0,0,0,0,5,126843,126726,PortScan
of:0000000000000007,Port#:2,5158,82239573,194252,1436,2096,4,556,556,4,5,2,0,0,0,0,0,4,11853,11716,Blackhole
of:0000000000000006,Port#:3,5232,113606006,130371764,250912,2680,0,0,280,2,4,2,0,6303353,0,6303353,0,8,664967,664832,Normal
of:0000000000000008,Port#:1,113,15037,6325935,397,116,4,560,4333465,114,5,4,0,0,0,0,0,5,897,794,TCP-SYN
of:0000000000000005,Port#:1,302,32850,18959081,1050,226,2,278,280,2,5,3,0,0,0,0,0,4,2309,2211,PortScan
of:0000000000000003,Port#:3,120361,49242928,70116735,317782,1557,4,556,278,2,5,3,0,0,0,0,0,4,991835,991711,Normal
of:000000000000000c,Port#:1,5614,119923532,145372211,414452,2547,54,3584,1839808,65,5,1,0,0,0,0,0,6,668539,668403,Normal
of:0000000000000004,Port#:2,301,6312280,6324405,386,101,38,2783,2101875,63,5,1,249512,6303287,249512,6303287,249512,6,948,893,TCP-SYN
of:0000000000000004,Port#:2,136110,13657396,19975776,136502,171,11247,4934647,605975,11197,5,2,0,0,0,0,0,8,273115,273013,PortScan
of:0000000000000005,Port#:2,415,264428,6400286,450,317,2,278,280,2,4,3,0,0,0,0,0,6,2743,2642,Overflow
of:0000000000000003,Port#:1,2619,19145292,4924615,1686,2002,4,556,4727678,130,5,4,0,0,0,0,0,505,11078,10941,Blackhole
of:0000000000000005,Port#:3,347,38584,6334209,407,281,2,280,280,2,5,2,0,0,0,0,0,4,1342,1276,PortScan
of:000000000000000c,Port#:1,365,12608148,41756,433,226,0,0,278,2,4,1,0,0,0,0,0,4,1077,1012,PortScan
of:0000000000000008,Port#:2,98351,11620390,17568199,91906,206,5236,283084,283084,5236,5,2,0,0,0,0,0,7,198662,198554,PortScan
of:000000000000000a,Port#:1,537,6348784,6347393,532,447,2,278,278,2,4,3,0,0,0,0,0,5,1769,1660,Blackhole
of:0000000000000005,Port#:2,1333,82332,17298,128,141,100,5740,556,4,5,2,0,0,0,0,0,5,1986,1881,TCP-SYN
of:000000000000000c,Port#:3,2890,44290431,25379733,2338,1201,4,556,4916,70,5,4,0,0,0,0,0,6,11077,10875,Diversion
of:0000000000000004,Port#:1,661,6336587,21480915,1110,166,61,4046,2364888,77,5,4,324,3246,324,3246,324,6,2476,2379,Overflow
of:000000000000000c,Port#:2,687,12648925,39629,297,396,2,278,278,2,5,1,0,0,0,0,0,4,2263,2145,Blackhole
of:0000000000000009,Port#:2,193,6275148,243749,582,236,0,0,560,4,5,2,0,0,0,0,0,8,3848,3751,Overflow
of:0000000000000003,Port#:3,528,6327817,18945710,854,236,0,0,556,4,5,1,0,0,0,0,0,8,236274,236171,PortScan
of:0000000000000001,Port#:2,2714,69392625,61415481,410413,1357,0,0,602,5,4,2,0,0,0,0,0,4,650135,650009,Normal
of:000000000000000b,Port#:2,374,6322979,6322800,371,86,2,278,320,3,5,3,0,0,0,0,0,8,3994,3906,TCP-SYN
of:0000000000000002,Port#:1,473,12615548,6338429,546,166,0,0,556,4,5,1,0,0,0,0,0,6,6959,6853,TCP-SYN
of:000000000000000c,Port#:1,195,6305017,82788,412,161,0,0,280,2,5,4,0,0,0,0,0,4,1918,1815,Overflow
of:0000000000000007,Port#:3,1633,91687,12697215,1859,116,95,5130,5690,99,5,1,469,74844,469,74844,469,6,3579,3524,TCP-SYN
of:0000000000000001,Port#:3,3436,31829348,38150108,3858,3047,2,278,556,4,5,4,0,0,0,0,0,4,21345,21122,Diversion
of:0000000000000009,Port#:1,87,11895,11769,84,86,2,278,278,2,5,3,0,0,0,0,0,4,854,759,PortScan
of:0000000000000001,Port#:3,497,6342898,47372,437,397,2,280,280,2,5,2,0,0,0,0,0,4,982,913,Blackhole
of:0000000000000004,Port#:2,4154,63271234,63269775,4107,1546,2,278,280,2,5,3,0,0,0,0,0,8,14224,14103,Blackhole
of:0000000000000001,Port#:2,186,6304415,16155,175,51,0,0,556,4,5,1,0,7615,0,7615,0,6,413,363,TCP-SYN
of:0000000000000007,Port#:2,1489,201440,31738600,2680,2171,4,556,556,4,5,4,0,0,0,0,0,5,12880,12643,Diversion
of:0000000000000007,Port#:2,2501,63082498,44427704,4002,2547,121,5119794,4450,63,5,3,0,0,0,0,0,8,18787,18563,Diversion
of:0000000000000004,Port#:3,506,6326370,18947004,859,256,0,0,829,6,5,1,0,0,0,0,0,8,257988,257885,PortScan
of:0000000000000003,Port#:1,1994,31652686,118737,892,1256,105,3939659,556,4,5,4,0,0,0,0,0,5,6108,5976,Blackhole
of:000000000000000b,Port#:2,3951,57021549,94889435,6114,2746,2,280,280,2,5,2,0,0,0,0,0,4,14231,14149,Blackhole
of:0000000000000005,Port#:3,223,6307033,46042,435,336,0,0,560,4,5,1,0,0,0,0,0,4,942,875,Blackhole
of:0000000000000004,Port#:3,1360,169693,19095153,2094,1692,4,556,556,4,5,2,0,0,0,0,0,4,5998,5866,Blackhole
of:000000000000000c,Port#:2,1035,25237083,36117965,408732,1007,0,0,560,4,5,2,0,0,0,0,0,4,644038,643918,Normal
of:000000000000000c,Port#:1,366,24568,18946513,830,334,0,0,556,4,5,2,0,0,0,0,0,6,3460,3307,Diversion
of:0000000000000003,Port#:2,3432,75727024,82316700,5622,3237,0,0,278,2,5,3,0,0,0,0,0,4,23055,22828,Diversion
of:0000000000000005,Port#:2,104,13999,12598666,562,111,2,278,526357,25,5,2,118242,6281198,118242,6281198,118242,5,856,758,TCP-SYN
of:0000000000000003,Port#:1,411,51938,51376,381,542,4,556,560,4,5,3,0,0,0,0,0,4,2382,2268,Blackhole
of:0000000000000005,Port#:1,548,65693,66373,575,581,4,556,556,4,4,3,0,0,0,0,0,4,2750,2625,Blackhole
of:0000000000000008,Port#:3,3592,69452984,105032501,248903,1920,0,0,560,4,5,1,0,0,0,0,0,6,655750,655625,Normal
of:0000000000000006,Port#:2,137,18162,18516,140,151,2,280,280,2,5,2,0,0,0,0,0,4,571,506,PortScan
of:0000000000000001,Port#:4,7413,151600649,75990699,5364,2726,4,556,556,4,5,4,0,0,0,0,0,606,19677,19549,Blackhole
of:0000000000000002,Port#:2,151,20268,19910,144,171,4,556,556,4,4,2,0,0,0,0,0,6,868,810,TCP-SYN
of:000000000000000a,Port#:1,2261,63066478,31728707,2986,1512,0,0,560,4,5,2,0,0,0,0,0,4,10591,10381,Diversion
of:0000000000000004,Port#:2,139,18536,18898,143,156,5,598,598,5,5,2,0,0,0,0,0,4,1141,1034,TCP-SYN
of:0000000000000006,Port#:3,1284,12666464,22923,226,121,141,1319257,278,2,4,3,0,0,0,0,0,7,1827,1728,TCP-SYN
of:0000000000000007,Port#:2,5603,94851665,19122491,2232,2056,4,556,556,4,4,2,0,0,0,0,0,5,16069,15931,Blackhole
of:000000000000000b,Port#:1,2879,63112474,73245624,241144,2230,0,0,560,4,5,1,0,0,0,0,0,5,515754,515666,Normal
of:0000000000000004,Port#:1,2323,37959615,12746637,1626,1162,3,458,458,3,5,2,0,0,0,0,0,6,9554,9345,Diversion
of:000000000000000a,Port#:4,718,6340922,31550847,1177,236,0,0,556,4,5,1,0,6310514,0,6310514,0,6,3412,3315,PortScan
of:000000000000000a,Port#:2,2731,56811478,69595741,4296,2062,0,0,280,2,5,1,0,0,0,0,0,6,13315,13186,Blackhole
of:0000000000000005,Port#:3,396,6318825,12633254,605,146,0,0,556,4,5,1,0,0,0,0,0,6,1788,1686,PortScan
of:000000000000000b,Port#:2,107,14287,14287,107,111,2,278,278,2,5,2,0,0,0,0,0,6,1277,1181,TCP-SYN
of:0000000000000003,Port#:3,123106,101773559,95481218,320030,2517,67,1971008,4074,57,5,3,630335,6303352,630335,6303352,630335,9,1005168,1005033,Normal
of:0000000000000001,Port#:2,2169,50477246,44412188,3783,2527,0,0,278,2,5,3,667,6678,667,6678,667,8,18208,17984,Diversion
of:000000000000000a,Port#:2,194,6304931,85922,463,256,0,0,819,6,5,2,0,0,0,0,0,6,2624,2522,Overflow
of:0000000000000001,Port#:2,527,6342685,30343,217,291,2,278,278,2,5,3,0,0,0,0,0,5,231951,231832,PortScan
of:0000000000000006,Port#:1,197081,23252182,25460,193,231,5442,294208,556,4,4,1,0,0,0,0,0,6,198401,198289,PortScan
of:0000000000000002,Port#:2,157,11035,6344660,518,397,0,0,280,2,5,1,0,0,0,0,0,4,982,913,Blackhole
of:0000000000000003,Port#:2,1693,6486162,25388537,2093,1737,2,278,556,4,5,3,0,0,0,0,0,606,9853,9726,Blackhole
of:0000000000000006,Port#:2,100,13411,13411,100,101,4,556,556,4,4,2,0,0,0,0,0,5,960,864,TCP-SYN
of:000000000000000c,Port#:1,2535,63089198,44395057,3754,2086,0,0,280,2,5,1,0,0,0,0,0,6,14309,14175,Blackhole
of:000000000000000c,Port#:2,186,24390,12646815,761,216,3,320,320,3,5,1,0,0,0,0,0,5,121133,121020,PortScan
of:0000000000000004,Port#:2,609,18952822,63561,757,208,0,0,280,2,4,1,0,0,0,0,0,4,1799,1703,Overflow
of:0000000000000001,Port#:1,125,16590,16520,124,131,5,759,759,5,5,2,0,0,0,0,0,5,1456,1353,TCP-SYN
of:0000000000000004,Port#:1,2942,43020265,177951,1318,1916,136,4990222,556,4,5,4,0,0,0,0,0,506,8954,8820,Blackhole
of:0000000000000008,Port#:3,2226,6423562,15803,120,126,100,5570,278,2,5,3,0,0,0,0,0,8,7253,7157,TCP-SYN
of:0000000000000008,Port#:1,288,31441,12630468,519,211,27,2351,789175,33,5,3,118242,6303551,118242,6303551,118242,6,1115,1010,TCP-SYN
of:000000000000000c,Port#:3,995,18961937,41933,338,406,2,278,278,2,5,2,0,0,0,0,0,4,2680,2566,Blackhole
of:000000000000000c,Port#:3,174618,57634721,30904588,284252,1107,163,6171648,7296,108,5,3,628,6282,628,6282,628,6,645612,645489,Normal
of:000000000000000c,Port#:4,348650,14676486,15173242,210537,747,4,556,560,4,5,4,0,0,0,0,0,4,640717,640599,Normal
of:0000000000000004,Port#:2,784,18938285,6337870,526,176,82,3020486,2933,38,5,3,0,0,0,0,0,8,181249,181146,PortScan
of:0000000000000006,Port#:1,3354,31810268,82227681,5015,2686,4,556,556,4,5,1,0,0,0,0,0,4,16430,16296,Blackhole
of:0000000000000003,Port#:2,1694,230114,88584249,5671,2496,4,556,556,4,5,1,0,0,0,0,0,5,20333,20194,Blackhole
of:000000000000000b,Port#:1,3248,75715076,69692316,5146,2997,0,0,560,4,5,2,0,0,0,0,0,7,11768,11601,Diversion
of:0000000000000001,Port#:2,841,25223973,6410105,1214,792,0,0,556,4,4,2,0,0,0,0,0,4,3906,3796,Blackhole
of:0000000000000003,Port#:4,169638,28062225,15440773,169077,201,115,4464456,4647,64,5,4,0,0,0,0,0,6,339819,339720,PortScan
of:0000000000000008,Port#:3,409,6319687,12637944,639,201,0,0,280,2,5,1,0,0,0,0,0,6,210159,210053,PortScan
of:000000000000000a,Port#:2,3631,69517051,56939225,3709,1442,2,278,278,2,5,3,0,0,0,0,0,4,11970,11750,Diversion
of:0000000000000007,Port#:1,99,13369,12839,91,101,4,556,556,4,5,3,1031,94392,1031,94392,1031,6,2143,2040,TCP-SYN
of:0000000000000004,Port#:2,956,25211029,6344924,643,161,2,278,278,2,5,3,0,0,0,0,0,4,2414,2318,TCP-SYN
of:0000000000000003,Port#:3,289,6311486,6291802,359,76,0,0,556,4,5,1,0,0,0,0,0,4,799,709,PortScan
of:0000000000000007,Port#:2,1047,140021,25367233,1961,1491,4,556,556,4,4,4,0,0,0,0,0,4,8597,8376,Diversion
of:000000000000000a,Port#:3,68,9356,6312679,239,61,2,278,348,3,5,1,0,0,0,0,0,5,433,345,PortScan
of:000000000000000c,Port#:3,1193,37829298,6435346,1509,922,0,0,560,4,5,2,0,0,0,0,0,6,5585,5421,Diversion
of:0000000000000007,Port#:1,65,9036,8994,64,56,4,556,556,4,5,3,0,0,0,0,0,6,495,408,PortScan
of:000000000000000a,Port#:3,1631,88390,103103,1734,126,95,5130,5732,100,5,2,507,87102,507,87102,507,10,4206,4108,TCP-SYN
of:0000000000000004,Port#:2,285733,112914358,25548651,305466,2040,4,556,556,4,5,4,0,7481,0,7481,0,5,959976,959842,Normal
of:0000000000000009,Port#:3,126,8813,6316330,270,96,0,0,278,2,5,2,0,6303353,0,6303353,0,8,2667,2574,TCP-SYN
of:000000000000000a,Port#:1,1559,31598123,102054,1001,752,4,556,556,4,5,3,0,0,0,0,0,5,4018,3891,Blackhole
of:0000000000000005,Port#:3,2896,38017614,12765392,1639,1526,41,3273,556,4,4,4,183877,6310571,183877,6310571,183877,8,9761,9636,Blackhole
of:000000000000000c,Port#:1,1879,255650,31792852,3071,2776,2,278,278,2,5,4,0,0,0,0,0,6,16690,16451,Diversion
of:0000000000000007,Port#:3,3331,31802803,12855251,2276,2567,2,278,278,2,5,4,291,6955,291,6955,291,505,16241,16098,Blackhole
of:0000000000000003,Port#:2,1921,44208499,6378706,758,792,99,3677115,556,4,5,3,0,0,0,0,0,6,4638,4521,Blackhole
of:0000000000000007,Port#:3,725,12646665,34173,279,304,2,278,278,2,5,2,0,0,0,0,0,6,2954,2797,Diversion
of:000000000000000a,Port#:4,533,12632148,25738,195,231,4,556,556,4,5,1,0,0,0,0,0,6,244345,244239,PortScan
of:0000000000000007,Port#:3,1038,101884,25279630,1210,651,2,278,278,2,5,2,0,0,0,0,0,4,3069,2997,Blackhole
of:0000000000000003,Port#:2,122,8564,6316121,268,91,0,0,560,4,4,1,0,0,0,0,0,4,850,763,PortScan
of:000000000000000c,Port#:3,179671,142577437,163465359,289863,2277,80,2627080,4606,65,5,3,344,12610158,344,12610158,344,8,665153,665018,Normal
of:0000000000000001,Port#:1,727,6365505,60145,530,542,4,556,556,4,5,3,0,0,0,0,0,504,2019,1893,Blackhole
of:0000000000000003,Port#:4,248,24957,22797078,72319,131,5,759,291333,5386,5,1,0,0,0,0,0,9,73176,73062,PortScan
of:0000000000000008,Port#:1,89,11979,19570,199,86,2,278,280,2,4,4,0,0,0,0,0,6,1132,1045,PortScan
of:000000000000000c,Port#:2,11,926,16698,125,131,0,0,763,5,5,1,0,0,0,0,0,8,4415,4319,TCP-SYN
of:0000000000000001,Port#:2,302,6312324,6325700,399,106,71,2626399,4264,56,5,2,0,0,0,0,0,6,1208,1113,PortScan
of:000000000000000b,Port#:1,186,6304411,16147,180,46,0,0,322,3,5,2,0,0,0,0,0,8,47033,46950,PortScan
of:0000000000000003,Port#:3,3114,31791140,31815234,3460,2687,4,556,556,4,4,4,0,0,0,0,0,6,18527,18304,Diversion
of:0000000000000003,Port#:4,2825,25465137,69579402,4316,2306,2,278,278,2,4,1,0,0,0,0,0,4,13669,13537,Blackhole
of:000000000000000c,Port#:2,508,6334352,16590,125,131,52,4138,829,6,5,3,0,0,0,0,0,6,63102,62990,PortScan
of:000000000000000a,Port#:3,179698,158821347,56964128,153897,2070,2,278,280,2,5,3,0,0,0,0,0,4,657579,657448,Normal
of:000000000000000c,Port#:3,222,23411,16422,121,136,2,278,278,2,5,1,0,0,0,0,0,6,66809,66708,PortScan
of:000000000000000a,Port#:2,3055,25489451,227532,1651,2486,2,278,278,2,5,1,0,0,0,0,0,5,14062,13921,Blackhole
of:0000000000000003,Port#:4,41,5899,6025,44,26,4,556,682,7,5,3,0,0,0,0,0,8,27740,27673,PortScan
of:0000000000000006,Port#:3,854,18946792,20001480,136762,261,4,556,293061,5418,5,1,0,0,0,0,0,7,138418,138312,PortScan
of:0000000000000009,Port#:3,175,24510,6335900,471,226,2,278,2626676,73,5,3,0,0,0,0,0,6,112837,112738,PortScan
of:000000000000000c,Port#:3,176006,76749801,75080236,286012,1417,4,556,280,2,5,3,0,0,0,0,0,8,651027,650901,Normal
of:0000000000000008,Port#:3,886,12643923,31563468,1330,276,0,0,560,4,5,1,0,0,0,0,0,8,278115,278012,PortScan
of:0000000000000003,Port#:2,1212,31541053,19023721,1659,782,0,0,280,2,5,1,0,0,0,0,0,605,5814,5699,Blackhole
of:0000000000000001,Port#:1,2126,125090,17004,121,141,100,5740,556,4,5,3,0,0,0,0,0,6,5177,5067,TCP-SYN
of:0000000000000003,Port#:2,121,8487,6312793,244,61,0,0,280,2,5,1,630335,6303353,630335,6303353,630335,6,780,700,TCP-SYN
of:0000000000000006,Port#:1,3450,50668961,50698376,3874,2222,4,556,5121085,132,5,4,0,0,0,0,0,6,15603,15470,Blackhole
of:0000000000000007,Port#:3,719,6340992,31553706,1199,266,0,0,348,3,4,1,0,0,0,0,0,4,3485,3381,PortScan
of:0000000000000004,Port#:1,536,12624735,10287,76,66,5,759,763,5,5,5,0,0,0,0,0,8,1374,1285,TCP-SYN
of:0000000000000007,Port#:3,1923,31642482,6456666,1633,1141,4,556,556,4,5,3,0,0,0,0,0,4,7297,7178,Blackhole
of:0000000000000004,Port#:1,770,12654817,12663296,890,427,144,5646165,5451,74,5,2,603921,6040012,603921,6040012,603921,10,1808,1742,Blackhole
of:000000000000000c,Port#:2,349,6323629,27811,287,156,72,2495685,556,4,5,3,0,0,0,0,0,605,1598,1505,Blackhole
of:0000000000000002,Port#:2,1571,31592601,19006078,1502,581,4,556,560,4,5,3,0,0,0,0,0,4,4191,4079,Blackhole
of:000000000000000c,Port#:1,193,5390760,7182,50,36,149,5384423,823,6,5,4,0,0,0,0,0,5,286,202,Overflow
of:000000000000000a,Port#:4,1067,64597,6368115,1243,86,96,5354,5354,96,5,1,-4741,0,-4741,0,-4741,10,3186,3086,TCP-SYN
of:0000000000000001,Port#:4,1137,18962485,25414521,4058,181,69,2364413,8745,141,5,1,1474,6455843,1474,6455843,1474,9,5519,5404,TCP-SYN
of:000000000000000b,Port#:2,147,18052,43750,523,146,4,556,556,4,5,3,0,0,0,0,0,4,962,863,Blackhole
of:0000000000000007,Port#:3,105,13847,111990,1830,106,4,556,8581,138,5,1,1718,81819,1718,81819,1718,7,3140,3043,TCP-SYN
of:0000000000000004,Port#:3,4310,31718656,6351502,711,206,102,5848,556,4,5,4,0,9067,0,9067,0,8,8559,8464,TCP-SYN
of:0000000000000005,Port#:2,262,6315921,27727,316,96,2,278,320,3,5,3,0,0,0,0,0,6,758,656,PortScan
of:0000000000000001,Port#:3,3100,75710657,74047829,411000,1557,0,0,280,2,4,2,0,0,0,0,0,7,653182,653056,Normal
of:0000000000000006,Port#:1,1147,70799,70757,1146,116,106,6052,6052,106,5,1,534,55404,534,55404,534,9,2908,2814,TCP-SYN
of:0000000000000008,Port#:3,5758,113716281,166383,1227,1792,2,278,278,2,5,3,0,0,0,0,0,5,10547,10321,Diversion
of:000000000000000c,Port#:1,1879,6397362,6407949,1955,76,195,10506,11062,199,5,2,977,86887,977,86887,977,10,3944,3859,TCP-SYN
of:0000000000000005,Port#:2,214,28445,18968128,1167,256,6,833,3825,47,5,3,0,0,0,0,0,5,2016,1904,PortScan
of:000000000000000a,Port#:2,948,25240048,26668,252,156,5,598,560,4,5,3,0,0,0,0,0,6,2445,2350,TCP-SYN
of:000000000000000a,Port#:3,3744,31830407,50721098,3981,2526,2,278,278,2,5,2,0,0,0,0,0,4,10589,10507,Blackhole
of:0000000000000004,Port#:3,7108,120111900,12822058,2115,2092,4,556,278,2,5,4,-667,0,-667,0,-667,8,18278,18045,Diversion
of:0000000000000002,Port#:1,49,7032,7132,52,36,6,833,801,6,5,3,0,0,0,0,0,9,1214,1120,TCP-SYN
of:0000000000000003,Port#:4,671,6342251,12796535,987,186,0,0,1572,22,5,1,0,0,0,0,0,9976,1941,1876,Overflow
of:000000000000000c,Port#:2,124,17130,17130,124,141,4,556,556,4,5,1,0,0,0,0,0,5,1484,1380,TCP-SYN
of:0000000000000001,Port#:3,300,6312248,6331966,453,166,0,0,560,4,5,2,0,0,0,0,0,8,7234,7129,TCP-SYN
of:000000000000000c,Port#:2,149,20896,28842,270,186,2,278,278,2,4,3,0,0,0,0,0,5,91160,91061,PortScan
of:0000000000000005,Port#:2,552,6338838,19774,150,166,5,598,598,5,5,3,0,0,0,0,0,7,1386,1284,PortScan
of:0000000000000004,Port#:3,601,12624294,12641973,722,166,0,0,602,5,5,2,0,0,0,0,0,8,185800,185701,PortScan
of:0000000000000005,Port#:3,1014,6354964,10269,76,66,104,6105,829,6,5,3,0,0,0,0,0,9,3000,2908,TCP-SYN
of:000000000000000a,Port#:4,5401,75986634,50734540,4081,2746,2,278,280,2,5,5,0,0,0,0,0,12,19175,18949,Diversion
of:000000000000000a,Port#:3,264,28445,18954339,1012,186,2,278,2889217,79,4,2,0,0,0,0,0,6,88772,88662,PortScan
of:0000000000000004,Port#:2,289424,169829333,38238736,306471,2870,4,556,278,2,5,4,0,6303305,0,6303305,0,5,967914,967770,Normal
of:0000000000000006,Port#:1,549,6348017,49752,455,427,4,556,556,4,5,3,0,0,0,0,0,4,1603,1484,Blackhole
of:0000000000000003,Port#:1,1838,6513401,12807202,1855,2096,4,556,556,4,5,2,0,0,0,0,0,6,10432,10293,Blackhole
of:0000000000000007,Port#:1,3748,75804059,110243,824,1172,2,278,278,2,5,3,0,0,0,0,0,4,6983,6774,Diversion
of:000000000000000a,Port#:3,180176,45468945,12687511,299955,1640,4,556,556,4,5,2,0,0,0,0,0,4,956842,956710,Normal
of:000000000000000c,Port#:2,681,18931184,21248,162,181,114,4333465,556,4,5,2,0,0,0,0,0,5,1788,1686,PortScan
of:0000000000000007,Port#:1,194,6304987,110685,331,187,0,0,280,2,5,2,0,0,0,0,0,5,1151,1058,Overflow
of:0000000000000004,Port#:3,945,12648097,31721996,2500,2062,0,0,278,2,5,1,0,0,0,0,0,6,9011,8887,Blackhole
of:0000000000000003,Port#:2,2454,44179567,69655069,4622,2876,0,0,278,2,5,2,0,0,0,0,0,606,19470,19342,Blackhole
of:0000000000000004,Port#:3,4973,75948868,6539208,2027,2407,65,4858,556,4,5,3,0,0,0,0,0,505,13656,13524,Blackhole
of:000000000000000a,Port#:1,1813,19068399,69534867,3773,1516,4,556,556,4,5,2,0,0,0,0,0,4,8370,8236,Blackhole
of:0000000000000008,Port#:2,7110,107567588,25498873,3040,2706,2,278,278,2,5,2,0,0,0,0,0,4,22283,22144,Blackhole
of:000000000000000c,Port#:3,5055,50801141,107477971,5800,2666,4,556,280,2,4,3,0,0,0,0,0,5,19460,19324,Blackhole
